id,km_inicial,km_total,lts_combustivel,preco_combustivel,viagem_id,motorista_id,veiculo_id,km_final,media
10e6a2d588118032b650d073d609d038,6478,2397,972.22,5.55,10e6a2d58811807684b7fe51a17d0aa2,347639855058412985083f175919fde9,97ad475571fa43128b59e86abdbc9cf3,8875.0,2.47
10c6a2d5881180559f17c8dd30170161,71768,6778,2675.36,5.68,10c6a2d588118039abc2c3cd95d62557,43bbc6379b6a4f05a37683edcfb92830,809e3a0391cb4d44a91d360e71c9cc12,78546.0,2.53
1066a2d5881180a6b323eadeb33f985a,25,6453,3232.71,5.6,1056a2d5881180349108e22eca7aaf29,347639855058412985083f175919fde9,97ad475571fa43128b59e86abdbc9cf3,6478.0,2.0
8cbd5d1c3c2244759bb59f1ef9c1eb82,64538,7230,2658.55,5.68,6e07bb3d8608468a950ad21a33765063,43bbc6379b6a4f05a37683edcfb92830,809e3a0391cb4d44a91d360e71c9cc12,71768.0,2.72
75074aa6009248ef9afd24a1e9127eb8,56531,8007,3125.89,5.73,b27b0041b3f3430f8faf320d051b0ce6,43bbc6379b6a4f05a37683edcfb92830,809e3a0391cb4d44a91d360e71c9cc12,64538.0,2.56
92cb66ec3f42484eb4c6bea698428fd7,51215,5316,2245.91,5.73,8187425dcc2a4d98b0cd2d0cd8ba8d6a,43bbc6379b6a4f05a37683edcfb92830,809e3a0391cb4d44a91d360e71c9cc12,56531.0,2.37
19605d5d6d294892b6fdcff33ebe8f26,37673,13542,5827.61,5.68,a6ba89fe03d34667ad009471777096be,43bbc6379b6a4f05a37683edcfb92830,809e3a0391cb4d44a91d360e71c9cc12,51215.0,2.32
a57943884d0e495fb1b81e96dd6426da,33182,4491,1929.14,5.52,06eeb38e584a42ab8bec058a4aaade4d,43bbc6379b6a4f05a37683edcfb92830,809e3a0391cb4d44a91d360e71c9cc12,37673.0,2.33
64958925ecc14304873a01baee15a521,28906,4276,1948.96,5.64,987a4de3aad149f88c9d5097114602b2,43bbc6379b6a4f05a37683edcfb92830,809e3a0391cb4d44a91d360e71c9cc12,33182.0,2.19
926c67943eed4a568c8b7f8e4a0d35ec,21929,6977,2993.16,5.66,2b3f1432777e4263a9b20f2415fc917d,43bbc6379b6a4f05a37683edcfb92830,809e3a0391cb4d44a91d360e71c9cc12,28906.0,2.33
04ce8085ea17471baa8ea14ae3888cde,19074,2855,1085.0,5.47,9dc4d80502f740599dba9f3f7d9ea722,43bbc6379b6a4f05a37683edcfb92830,809e3a0391cb4d44a91d360e71c9cc12,21929.0,2.63
3f759140333e41a987e92e5c5e43d429,5702,13372,5270.9,5.62,05af2257ba2442c4abdba88ed5bd6111,43bbc6379b6a4f05a37683edcfb92830,809e3a0391cb4d44a91d360e71c9cc12,19074.0,2.54
69f1cbdb54ac49e2b457d207683f9283,40,5662,2748.17,5.94,563f2c278e824daf83f5b7d7fbf61a25,43bbc6379b6a4f05a37683edcfb92830,809e3a0391cb4d44a91d360e71c9cc12,5702.0,2.06
