id,identificador,credito_motorista,frete_ida,frete_volta,frete_extra,destinos_ida,destinos_volta,destinos_extra,data_ida,data_volta,status,transportador_ida,transportador_volta,veiculo_id,motorista_id,lucro_bruto,gasto_motorista,gasto_empresa,total_despesas_viagem,troco_da_viagem,destinos_ida_origem_standard,destinos_ida_destino_standard,destinos_volta_origem_standard,destinos_volta_destino_standard
1776a2d58811806bb169f639e1cf4f16,09/01/25 RRE 1J19 NV 17,2000.0,9000.0,6400.0,,FORTALEZA,MOITA BONITA,,2025-01-09,2025-01-18,FIM DE VIAGEM,TRANSBRASIL,TRANSVIANA,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,8431.9,1504.7,5463.4,6968.1,495.3,Fortaleza - CE - Brasil,,Moita Bonita - SE - Brasil,
1716a2d588118034be44f9b1bb6fe610,27/12/24 RRE 1J19 NV 16 ,2967.91,9000.0,7275.0,,FORTALEZA,ITABAIANA,,2024-12-27,2025-01-03,FIM DE VIAGEM,TRANSBRASIL,FORT DISTRIBUIDORA,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,9418.0,4517.0,2340.0,6857.0,-1549.09,Fortaleza - CE - Brasil,,Itabaiana - PB - Brasil,
16c6a2d5881180ecbdfee094be3e2660,RRD 0D19 02/01/25 NV 07 ,1720.0,13500.0,18000.0,2000.0,BELEM - MATHEUS,ITABAIANA,DIARIAS A ACRECENTAR,2025-01-02,2025-01-21,FIM DE VIAGEM,GAO TRANSPORTES,MADEREIRA BARBOSA,97ad475571fa43128b59e86abdbc9cf3,1426a2d588118022b367d7e832988dbf,20292.76,1815.0,11392.24,13207.24,-95.0,Belém - PA - Brasil,Matões - MA - Brasil,Itabaiana - PB - Brasil,
15e6a2d5881180ff849dd646e1ee6bd6,17/12/24 RRE 1J19 NV 15,7640.0,9000.0,6400.0,,FORTALEZA,BATALHA - CRAIBAS - AL ,,2024-12-17,2024-12-23,FIM DE VIAGEM,MACTRANSPORTES,AR TRANSPORTES,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,8151.89,4672.09,2576.02,7248.11,2967.91,Fortaleza - CE - Brasil,,Batalha - PI - Brasil,Craíbas - AL - Brasil
1506a2d588118097b5e9c878f725e2df,RRD 0D19 07/12/24 NV 06,8800.0,9495.0,18000.0,5200.0,TEREZINA,ITABAIANA,FC - SABAO,2024-12-07,2024-12-23,FIM DE VIAGEM,MACTRANSPORTES,MADEREIRA  SAO JOSE,97ad475571fa43128b59e86abdbc9cf3,1426a2d588118022b367d7e832988dbf,18104.81,7826.59,6763.6,14590.19,973.41,Terezinha - PE - Brasil,,Itabaiana - PB - Brasil,
1476a2d588118075b76dc927c431c511,24/11/24 RRE 1J19 NV 14,20410.82,4500.0,20475.49,16884.0,FLORESTA,FORTALEZA,"GESSO FERNANDO ( 03 PONTAS MG) 9625,00 - HIDROTINTAS - 7259,00",2024-11-24,2024-12-14,FIM DE VIAGEM,MACTRANSPORTES,TERMARCO,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,19594.68,20771.78,1493.03,22264.81,-360.96,Floresta - PE - Brasil,,Fortaleza - CE - Brasil,
1366a2d58811800f9674cef7a4068866,05/11/24 RRE 1J19 NV 13,18172.8,8100.0,21003.67,10133.0,TEREZINA PAG,RECIFE,GESSO / FERNANDO,2024-11-05,2024-11-22,FIM DE VIAGEM,MACTRANSPORTES,TERMARCO,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,17573.28,18458.36,3205.03,21663.39,-285.56,Terezinha - PE - Brasil,,Recife - PE - Brasil,
1366a2d58811800b9e00d6ee50a39bcb,RRD 0D19 07/11/24 NV 05 ,2920.0,4500.0,6400.0,36471.62,FLORESTA,SOCORRO / SE,FERNANDO - MANGA  / TERMACO - ( JOAO PESSOA) - CAMIL - FORTALEZA,2024-11-05,2024-11-29,FIM DE VIAGEM,MACTRANSPORTES,TRANSVIANA,97ad475571fa43128b59e86abdbc9cf3,1426a2d588118022b367d7e832988dbf,23555.01,3120.0,20696.61,23816.61,-200.0,Floresta - PE - Brasil,,Socorro - SP - Brasil,
1226a2d588118042b79bcc1b26f14353, RRD 0D19 19/10/24 NV 04,3000.0,9551.31,17458.94,9280.0,FLORIANO  PAG,MACEIO,FERNADO/ ITAPEVA,2024-10-19,2024-11-05,FIM DE VIAGEM,MACTRANSPORTES,TAMARCO,97ad475571fa43128b59e86abdbc9cf3,1426a2d588118022b367d7e832988dbf,16822.09,3084.0,16384.16,19468.16,-84.0,Floriano - PI - Brasil,,Maceió - AL - Brasil,
1216a2d588118016a91cdeb35c276406,03/10/24 RRE 1J19 NV 12,26328.0,4860.0,20890.42,39122.0,PETROLINA,JOAO PESSOA,FERNANDO GESSO/  TERMARCO RN / SAL POTIGUAR / ,2024-10-03,2024-11-03,FIM DE VIAGEM,MACTRANSPORTES,TERMACO,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,29126.91,27916.53,7828.98,35745.51,-1588.53,Petrolina - PE - Brasil,,João Pessoa - PB - Brasil,
