identificador,credito_motorista,ida_valor_frete,volta_valor_frete,extra_valor_frete,ida_destino,volta_destino,data_ida,data_chegada,status,ida_transportadore,volta_transportadore,veiculo_id,motorista_id,lucro_bruto
,2000.0,10100.0,16585.25,9600.0,Terezina,Aracaju,2024-09-17,2024-09-30,Fim de Viagem,['MacTransportes'],['Termarco'],['809e3a03-91cb-4d44-a91d-360e71c9cc12'],['43bbc637-9b6a-4f05-a376-83edcfb92830'],18020.22
,4500.0,,26271.0,3500.0,,Recife / João Pessoa,2024-08-16,2024-09-04,Fim de Viagem,[],['Qualitá Transportes'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3'],['34763985-5058-4129-8508-3f175919fde9'],6130.149999999998
,4800.0,8188.0,17555.0,12200.0,Terezina,Maceio,2024-08-31,2024-09-12,Fim de Viagem,['MacTransportes'],['Termarco'],['809e3a03-91cb-4d44-a91d-360e71c9cc12'],['43bbc637-9b6a-4f05-a376-83edcfb92830'],19860.82
,7965.0,6975.0,17555.57,14703.0,Fortaleza,Maceio,2024-08-07,2024-08-27,Fim de Viagem,['MacTransportes'],['Termarco'],['809e3a03-91cb-4d44-a91d-360e71c9cc12'],['43bbc637-9b6a-4f05-a376-83edcfb92830'],17604.68
,4200.0,6975.0,16250.0,12400.0,Fortaleza,N. Sra. Socorro,2024-07-19,2024-08-04,Fim de Viagem,['MacTransportes'],['Baratão Madeiras'],['809e3a03-91cb-4d44-a91d-360e71c9cc12'],['43bbc637-9b6a-4f05-a376-83edcfb92830'],18685.39
,66917.74,6975.0,17360.67,47934.07,Fortaleza,Aracaju,2024-06-12,2024-07-11,Fim de Viagem,['MacTransportes'],['Tamarco'],['809e3a03-91cb-4d44-a91d-360e71c9cc12'],['43bbc637-9b6a-4f05-a376-83edcfb92830'],31620.62
,8750.0,6300.0,16800.0,6270.0,Picos,Itabaiana,2024-05-27,2024-06-10,Fim de Viagem,['MacTransportes'],['Madereira Preço bom'],['809e3a03-91cb-4d44-a91d-360e71c9cc12'],['43bbc637-9b6a-4f05-a376-83edcfb92830'],15184.02
,2000.0,11806.11,18800.0,,Santa Inês ,NSa  Da Glória,2024-05-10,2024-05-22,Fim de Viagem,['MacTransportes'],['Imporio Madeiras'],['809e3a03-91cb-4d44-a91d-360e71c9cc12'],['43bbc637-9b6a-4f05-a376-83edcfb92830'],17724.53
,29563.15,6975.0,15825.0,12000.0,Fortaleza,Aracaju,2024-04-19,2024-05-04,Fim de Viagem,['MacTransportes'],['Tamarco'],['809e3a03-91cb-4d44-a91d-360e71c9cc12'],['43bbc637-9b6a-4f05-a376-83edcfb92830'],13538.760000000002
,2000.0,8760.02,7360.0,,Fortaleza,Alagoas/ Major  Izidório,2024-04-07,2024-04-13,Fim de Viagem,['MacTransportes'],['AR Transportes'],['809e3a03-91cb-4d44-a91d-360e71c9cc12'],['43bbc637-9b6a-4f05-a376-83edcfb92830'],7617.16
,20600.0,8601.6,16700.0,42200.0,Fortaleza,Maceio,2024-02-26,2024-03-31,Fim de Viagem,['MacTransportes'],['Transul / café melita'],['809e3a03-91cb-4d44-a91d-360e71c9cc12'],['43bbc637-9b6a-4f05-a376-83edcfb92830'],30732.88999999999
,27500.0,,19500.0,5000.0,,Fortaleza,2024-02-01,2024-02-20,Fim de Viagem,[],['Dolci & Dolci Tranportes'],['809e3a03-91cb-4d44-a91d-360e71c9cc12'],['43bbc637-9b6a-4f05-a376-83edcfb92830'],1568.930000000004
